id,sample_number,sample_date,partial_postal_code,leadAmountppm
1,1296186,2020-09-06,M6E,0.0036353648329649035
2,1476444,2017-10-02,M6N,0.0019034968397555292
3,1426750,2015-05-25,M6H,0.014570797672210778
4,1549258,2017-05-12,M6J,0.006737327731018372
5,1124878,2017-05-26,M2M,0.01947710984129938
6,1560245,2019-05-02,M6P,0.011889192558418313
7,1944258,2016-07-15,M2M,0.014144093729342288
8,1596978,2021-09-24,M4G,0.015568303949757728
9,1268479,2020-11-09,M6E,0.011763350101652664
10,1364558,2020-06-13,M3B,0.009146659851769325
11,1086942,2024-03-10,M6P,0.019521297776349186
12,1299667,2021-05-30,M4K,0.008108416892010082
13,1143973,2017-05-28,M2M,0.015674680087801273
14,1483025,2014-10-13,M6J,0.005445843226675204
15,1933757,2014-02-17,M9B,0.01654634294403118
16,1288905,2023-07-01,M6H,0.009425954330096634
17,1308457,2015-04-14,M9B,0.015007765731462371
18,1590820,2016-04-11,M6N,0.006593604149606159
19,1627935,2018-05-16,M9B,0.0029131317723906603
20,1048208,2015-04-20,M2M,0.019680087981763777
21,1748140,2015-04-06,M6E,0.03138821620421607
22,1904131,2017-04-26,M6H,0.026497389506794634
23,1322455,2022-10-14,M4J,0.01265192332771937
24,1663044,2019-01-03,M4K,0.005913847725188904
25,1839850,2022-04-18,M6N,0.04649704198501561
26,1372855,2022-10-24,M6N,0.012429795585214636
27,1540335,2018-10-21,M6N,0.011643770413087097
28,1124280,2014-12-13,M4E,0.006322779186166407
29,1771846,2020-12-26,M4G,0.022179297979653623
30,1515727,2016-05-13,M6E,0.013346499379263316
31,1944393,2018-02-28,M1L,0.004462091059111541
32,1387386,2018-11-10,M4J,0.0028011560870143033
33,1159800,2019-02-24,M9B,0.0075916679279438145
34,1772358,2014-01-01,M4K,0.013840365735992318
35,1924738,2018-06-03,M4E,0.010213182059471384
36,1006579,2014-10-05,M2M,0.011180760818200991
37,1836683,2015-03-24,M3B,0.005783729248110713
38,1280632,2023-11-06,M4E,0.02268604479908002
39,1561119,2017-09-24,M2M,0.012088550616357885
40,1471752,2021-06-28,M3B,0.01217466763124945
41,1430472,2017-06-03,M2M,0.008959540683345096
42,1279519,2020-08-28,M1L,0.009027685859706635
43,1134639,2023-09-18,M1L,0.005326287669265861
44,1597573,2020-12-06,M6H,0.021290500189545456
45,1484691,2016-05-31,M4M,0.04571090609236829
46,1912019,2018-02-08,M6N,0.015244890574179942
47,1581518,2014-01-04,M6H,0.013239608369184233
48,1172042,2016-03-06,M9B,0.03217926743249304
49,1001284,2023-06-03,M4J,0.007129801969409833
50,1806664,2023-03-31,M4J,0.007331269200728918
51,1909090,2017-04-14,M4M,0.023664252087357732
52,1269305,2023-04-04,M3B,0.015477205768262212
53,1443325,2014-02-17,M6J,0.01835740351277428
54,1289166,2024-06-11,M2M,0.011353965618983192
55,1578612,2014-10-10,M2M,0.007971864222648287
56,1821438,2022-05-19,M9B,0.015809691558883253
57,1339803,2024-06-01,M4J,0.006423898253458903
58,1055687,2023-10-14,M3B,0.00245705325513646
59,1039867,2015-10-24,M4G,0.014882498104467842
60,1369468,2022-03-18,M1L,0.02760554194431885
61,1075981,2014-01-20,M3B,0.007187843784672385
62,1839059,2014-05-07,M1L,0.0013934171029501658
63,1463642,2016-03-08,M6P,0.008726409357547668
64,1318329,2018-07-19,M4G,0.009309492046979732
65,1308260,2014-03-27,M3B,0.01402715211577741
66,1009888,2019-12-04,M4E,0.014882753267736783
67,1691989,2022-12-23,M4E,0.007751614383327977
68,1955165,2017-11-16,M6N,0.013206252760881948
69,1174188,2014-01-17,M4K,0.012484130413188611
70,1722670,2024-05-23,M4G,0.009147476999675738
71,1394032,2014-02-18,M3B,0.011262810894299901
72,1627436,2014-09-07,M6P,0.002627428677556799
73,1040274,2015-07-06,M4E,0.01618366611966938
74,1474381,2018-10-30,M6N,0.01961785165738609
75,1345496,2018-09-26,M9B,0.007906521329266857
76,1772737,2014-09-15,M1L,0.0254504112227767
77,1772872,2017-07-14,M1L,0.020062052489356205
78,1617984,2018-08-26,M6H,0.004393885613267107
79,1583638,2023-11-01,M6E,0.009297378294300204
80,1746951,2016-11-09,M4M,0.0076729378005943386
81,1852420,2020-11-15,M6E,0.04023528089816745
82,1846245,2015-01-29,M6P,0.005617437569774338
83,1979801,2021-10-20,M4J,0.007473491277869429
84,1255235,2021-11-14,M4J,0.013690389257591517
85,1130846,2018-01-24,M4M,0.018847629743923528
86,1991930,2017-09-06,M6E,0.0013913110141723067
87,1863190,2016-07-01,M9B,0.023875710387053408
88,1286124,2023-06-23,M4E,0.01158180322160826
89,1408525,2018-05-28,M4G,0.035608646056295955
90,1848432,2024-01-05,M4E,0.010271738845379895
91,1055198,2021-02-14,M6P,0.012623352589733928
92,1715729,2021-05-01,M1L,0.012768009192603196
93,1052525,2015-01-09,M6J,0.011499855900328471
94,1115829,2014-03-28,M6E,0.022035729227164114
95,1103491,2022-04-21,M6E,0.01045588065620797
96,1061117,2017-09-18,M4G,0.033562072054701846
97,1102303,2020-04-08,M4K,0.01537002731450165
98,1968333,2023-07-04,M6H,0.0010764834396536321
99,1485329,2022-07-09,M3B,0.005974339509601914
100,1425555,2015-03-23,M1L,0.014138202844988523
